nom,Date, epidemiological_surveillance
Aru,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Aungba,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Bambu,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Damas,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Bunia,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective. Mise en place d un systeme d alerte precoce dans le site des deplaces de l ISP Bunia. Briefing des RECO sur la SBC et suivi de contacts. Resultat : 159 RECO atteints au jour J2."
Gety,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Kilo,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Komanda,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Lita,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Mangala,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Mongbwalu,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Nizi,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Nyankunde,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Rwampara,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Butembo,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Goma,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Oicha,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Kalunguta,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Katwa,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Kyondo,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Beni,2026-05-30,"Reorganisation du pilier et deploiement des epidemiologistes dans les sous-piliers et ZS hotspots. Activites de routine : remontee des alertes, investigations, recherche active, listage et suivi des contacts, revue documentaire retrospective."
Aru,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Aungba,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Bambu,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Bunia,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Twelve (12) alerts faced community resistance, hindering their verification. Nine (9) PPL alerts under verification."
Damas,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Gety,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Kilo,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Komanda,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Lita,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Logo,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Newly affected health zone as of 31 May 2026 — 1 new confirmed case."
Mangala,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Mongbwalu,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Nizi,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review. Community resistance to contact listing and follow-up around confirmed cases."
Nyankunde,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Rwampara,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Beni,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Butembo,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Goma,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Kalunguta,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Katwa,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Kyondo,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
Oicha,2026-05-31,"Continuation of routine surveillance activities: alert reporting, investigations, active case finding, contact listing and follow-up, retrospective case and death record review."
